L11,L12,L22,branch,cauchy_schwarz_determinant,cauchy_schwarz_ok,chemical_potential,disorder_full_width,final_residual,half_filling,ill_conditioned,index,interaction,iterations,kappa_e,kappa_half_filling_formula,kappa_half_relative_difference,lorenz,lorenz_over_L0,max_imag_sigma_global,max_imag_sigma_relevant,rho_arith_zero,rho_floor_count_final,rho_typ_zero,rho_zero,sigma,status,sum_rule_arith_bath,sum_rule_medium,target_filling,tau_symmetry_relative_error,temperature,temperatures,thermopower
20.61436083132938,2.7755575615628914e-17,0.005119255331983722,arith,0.10553017660121931,True,0.0,0.0,1.5700924586837752e-16,True,False,0,0.0,1,0.5119255331983722,0.5119255331983722,0.0,2.4833441957625766,0.7548461199179809,5.551115123125783e-17,5.551115123125783e-17,1.2706956121222355,0.0,1.2706956121222355,1.2706956121222355,20.61436083132938,success,0.9998386278189352,0.9998386278189352,0.5,3.280304341821906e-16,0.01,"[0.01, 0.02]",-1.3464194132784573e-16
17.535351953655447,0.0,0.016627634883563086,arith,0.29157142984015744,True,0.0,0.0,1.5700924586837752e-16,True,False,0,0.0,1,0.8313817441781542,0.8313817441781542,0.0,2.370587560419177,0.7205722126484188,5.551115123125783e-17,5.551115123125783e-17,1.2706956121222355,0.0,1.2706956121222355,1.2706956121222355,17.535351953655447,success,0.9998386278189352,0.9998386278189352,0.5,3.280304341821906e-16,0.02,"[0.01, 0.02]",-0.0
0.7906680874072918,9.540979117872439e-18,0.0002591468103132354,arith,0.00020489911286806605,True,0.0,0.25,9.44882134089454e-09,True,False,2,0.0,630,0.025914681031323536,0.025914681031323536,0.0,3.2775675968283102,0.9962610851352507,-3.2964759803886384e-07,-3.2964759803886384e-07,1.220207817619705,0.0,1.2170585401844298,1.220207817619705,0.7906680874072918,success,0.9998392996099041,0.9998392996099041,0.5,7.994387213643864e-15,0.01,"[0.01, 0.02]",-1.2066983946650242e-15
0.7878944856673205,5.204170427930421e-18,0.0010212261963786849,arith,0.0008046184887457779,True,0.0,0.25,9.44882134089454e-09,True,False,2,0.0,630,0.051061309818934246,0.051061309818934246,0.0,3.2403647155676567,0.9849527652425465,-3.2964759803886384e-07,-3.2964759803886384e-07,1.220207817619705,0.0,1.2170585401844298,1.220207817619705,0.7878944856673205,success,0.9998392996099041,0.9998392996099041,0.5,7.994387213643864e-15,0.02,"[0.01, 0.02]",-3.302580816721075e-16
0.7651052484619144,-8.673617379884035e-19,0.0002505986750434446,typ,0.0001917343615333412,True,0.0,0.25,9.213337453459976e-09,True,False,3,0.0,280,0.025059867504344458,0.025059867504344458,0.0,3.2753490522672704,0.9955867284525872,-9.098064954386233e-05,-9.098064954386233e-05,1.2216648897398368,0.0,1.2184960174407304,1.2184960174407304,0.7651052484619144,success,0.9998288436501904,0.9584555108725934,0.5,5.941210156547509e-15,0.01,"[0.01, 0.02]",1.1336502262035904e-16
0.7619407988573057,-1.734723475976807e-18,0.000984921753799095,typ,0.0007504520679016209,True,0.0,0.25,9.213337453459976e-09,True,False,3,0.0,280,0.04924608768995475,0.04924608768995475,0.0,3.231621653795797,0.9822951931403978,-9.098064954386233e-05,-9.098064954386233e-05,1.2216648897398368,0.0,1.2184960174407304,1.2184960174407304,0.7619407988573057,success,0.9998288436501904,0.9584555108725934,0.5,5.941210156547509e-15,0.02,"[0.01, 0.02]",1.1383584384629347e-16
0.21469029352261837,2.168404344971009e-19,7.045860411002957e-05,arith,1.5126778397576214e-05,True,0.0,0.5,9.407106369145088e-09,True,False,4,0.0,512,0.0070458604110029575,0.0070458604110029575,0.0,3.2818718980700687,0.9975694358249552,-1.3217420895548278e-06,-1.3217420895548278e-06,1.0935536039928604,0.0,1.0569390194375818,1.0935536039928604,0.21469029352261837,success,0.999838310313294,0.999838310313294,0.5,3.746336737822909e-15,0.01,"[0.01, 0.02]",-1.0100150823737915e-16
0.21419955095780643,1.3010426069826053e-18,0.00027909925289151035,arith,5.978293464202078e-05,True,0.0,0.5,9.407106369145088e-09,True,False,4,0.0,512,0.013954962644575518,0.013954962644575518,0.0,3.2574677636285987,0.9901514684628258,-1.3217420895548278e-06,-1.3217420895548278e-06,1.0935536039928604,0.0,1.0569390194375818,1.0935536039928604,0.21419955095780643,success,0.999838310313294,0.999838310313294,0.5,3.746336737822909e-15,0.02,"[0.01, 0.02]",-3.036987241954788e-16
0.1844253218475182,2.168404344971009e-19,6.0391325590759586e-05,typ,1.1137689658874099e-05,True,0.0,0.5,6.701466185967379e-09,True,False,5,0.0,257,0.006039132559075958,0.006039132559075958,0.0,3.274567992387227,0.9953493147179626,-0.00044317693527456395,-0.00044317693527456395,1.1080224468976616,0.0,1.0685559762752674,1.0685559762752674,0.1844253218475182,success,0.9998301470077016,0.8345026619407805,0.5,2.1039074799522356e-15,0.01,"[0.01, 0.02]",-1.1757628091677308e-16
0.18362189933157919,-4.336808689942018e-19,0.00023713493600567229,typ,4.354316734723403e-05,True,0.0,0.5,6.701466185967379e-09,True,False,5,0.0,257,0.011856746800283613,0.011856746800283613,0.0,3.228576450696939,0.981369562393175,-0.00044317693527456395,-0.00044317693527456395,1.1080224468976616,0.0,1.0685559762752674,1.0685559762752674,0.18362189933157919,success,0.9998301470077016,0.8345026619407805,0.5,2.1039074799522356e-15,0.02,"[0.01, 0.02]",1.180907262621963e-16
